2026-05-09 16:11:45 | crear_sorteo | Moto | OK
2026-05-09 16:13:29 | listar_sorteos | - | OK
2026-05-09 16:14:37 | comprar_billete | Moto billete #2 | OK
2026-05-09 16:15:03 | ver_apuestas | Moto | OK
2026-05-09 16:20:05 | crear_sorteo | Baloto | OK
2026-05-09 16:20:21 | realizar_sorteo | Moto | OK
2026-05-09 16:33:11 | listar_sorteos | - | OK
2026-05-09 16:33:54 | comprar_billete | moto billete #22 | OK
2026-05-09 16:33:59 | listar_sorteos | - | OK
2026-05-09 16:34:15 | comprar_billete |  | NEGADO
2026-05-09 16:34:32 | comprar_billete | Baloto billete #3 | OK
2026-05-09 16:34:50 | realizar_sorteo | Baloto | OK
2026-05-09 16:35:05 | eliminar_sorteo | Baloto | OK
2026-05-09 16:35:13 | eliminar_sorteo | moto | NEGADO
2026-05-09 16:35:40 | eliminar_sorteo | Moto | OK
2026-05-09 16:35:48 | realizar_sorteo | moto | OK
2026-05-09 16:36:05 | eliminar_sorteo | moto | OK
2026-05-09 16:36:07 | listar_sorteos | - | OK
2026-05-09 16:36:14 | listar_sorteos | - | OK
2026-05-09 18:17:10 | crear_sorteo | carro | OK
2026-05-09 18:17:24 | listar_sorteos | - | OK
2026-05-09 18:18:46 | comprar_fraccion | carro billete #16 fracción #2 | NEGADO
2026-05-09 18:22:10 | comprar_fraccion | carro billete #16 fracción #5 | NEGADO
2026-05-09 18:23:09 | comprar_fraccion | carro billete #5 fracción #2 | OK
2026-05-09 18:27:31 | listar_sorteos | - | OK
2026-05-09 18:28:25 | consultar_disponibles | carro | OK
2026-05-09 18:28:53 | consultar_disponibles | carro | OK
2026-05-09 18:29:17 | comprar_fraccion | carro billete #2 fracción #1 | OK
2026-05-09 18:29:29 | consultar_disponibles | carro | OK
2026-05-09 18:31:08 | consultar_premios_pasados | - | OK
2026-05-09 18:31:33 | realizar_sorteo | carro | NEGADO
2026-05-09 18:32:29 | comprar_billete | carro billete #14 | OK
2026-05-09 18:32:37 | consultar_disponibles | carro | OK
2026-05-09 18:32:48 | comprar_fraccion | carro billete #2 fracción #2 | OK
2026-05-09 18:32:54 | consultar_disponibles | carro | OK
2026-05-09 18:33:07 | comprar_fraccion | carro billete #2 fracción #3 | OK
2026-05-09 18:33:17 | realizar_sorteo | carro | OK
2026-05-09 18:33:44 | consultar_disponibles | carro | OK
2026-05-09 18:33:58 | comprar_fraccion | carro billete #2 fracción #4 | NEGADO
2026-05-09 18:34:29 | eliminar_premio | carro | NEGADO
2026-05-09 18:35:14 | eliminar_sorteo | carro | OK
2026-05-09 18:36:01 | crear_sorteo | moto | OK
2026-05-09 18:36:49 | crear_premio | moto - xtz 1000 | OK
2026-05-09 18:37:14 | consultar_disponibles | moto | OK
2026-05-09 18:37:21 | comprar_fraccion | moto billete #1 fracción #1 | OK
2026-05-09 18:37:28 | consultar_disponibles | moto | OK
2026-05-09 18:37:35 | comprar_fraccion | moto billete #1 fracción #2 | OK
2026-05-09 18:37:41 | consultar_disponibles | moto | OK
2026-05-09 18:37:51 | comprar_fraccion | moto billete #1 fracción #3 | OK
2026-05-09 18:38:07 | comprar_billete | moto billete #8 | OK
2026-05-09 18:38:19 | ver_apuestas | moto | OK
2026-05-09 18:38:48 | listar_sorteos | - | OK
2026-05-09 18:39:18 | consultar_ingresos | moto | OK
2026-05-09 18:42:47 | listar_sorteos | - | OK
2026-05-09 18:43:15 | consultar_ingresos | moto | OK
2026-05-09 18:43:26 | realizar_sorteo | moto | OK
